Card Number,Card Name,Card Type,Lesson Type,Set name,QA status
1,Dean Thomas,Character,none,Base Set,not tested
2,Draco Malfoy,Character,none,Base Set,not tested
3a,Draco Malfoy,Character,none,Base Set,not tested
3b,Draco Malfoy,Character,none,Base Set,not tested
4,Dragon's Escape,Adventure,none,Base Set,not tested
5,Elixir of Life,Spell,Potions,Base Set,not tested
6,Gringotts' Cart Ride,Adventure,none,Base Set,not tested
7,Hannah Abbott,Character,none,Base Set,not tested
8,Harry Potter,Character,none,Base Set,not tested
9,Hermione Granger,Character,none,Base Set,not tested
10a,Hermione Granger,Character,none,Base Set,not tested
10b,Hermione Granger,Character,none,Base Set,not tested
11,Human Chess Game,Adventure,none,Base Set,not tested
12,Invisibility Cloak,Item,Transfiguration,Base Set,not tested
13,Nearly Headless Nick,Character,none,Base Set,not tested
14,Obliviate,Spell,Charms,Base Set,not tested
15,Professor Filius Flitwick,Character,none,Base Set,not tested
16,Professor Severus Snape,Character,none,Base Set,not tested
17,Ron Weasley,Character,none,Base Set,not tested
18,Rubeus Hagrid,Character,none,Base Set,not tested
19,Troll in the Bathroom,Adventure,none,Base Set,not tested
20,Unicorn,Creature,Care of Magical Creatures,Base Set,not tested
21,Delivery Owl,Creature,Care of Magical Creatures,Base Set,not tested
22,Draught of Living Death,Spell,Potions,Base Set,not tested
23,Harry Hunting,Adventure,none,Base Set,not tested
24,History of Magic,Spell,Charms,Base Set,not tested
25,Incendio,Spell,Charms,Base Set,not tested
26,Malevolent Mixture,Spell,Potions,Base Set,not tested
27,Meet the Centaurs,Adventure,none,Base Set,not tested
28,Mountain Troll,Creature,Care of Magical Creatures,Base Set,not tested
29,Mrs Norris,Creature,Care of Magical Creatures,Base Set,not tested
30,Norbert,Creature,Care of Magical Creatures,Base Set,not tested
31,Phoenix Feather Wand,Item,Charms,Base Set,not tested
32,Platform 9 3/4,Spell,Transfiguration,Base Set,not tested
33,Potion Ingredients,Item,Potions,Base Set,not tested
34,Raven to Writing Desk,Spell,Transfiguration,Base Set,not tested
35,Shrinking Potion,Spell,Potions,Base Set,not tested
36,Titillando,Spell,Charms,Base Set,not tested
37,Transfiguration Exam,Spell,Transfiguration,Base Set,not tested
38,Transfiguration Test,Spell,Transfiguration,Base Set,not tested
39,4 Privet Drive,Adventure,none,Base Set,not tested
40,Alchemy,Spell,Transfiguration,Base Set,not tested
41,Apothecary,Spell,Potions,Base Set,not tested
42,Apparate,Spell,Transfiguration,Base Set,not tested
43,Baby Dragon,Creature,Care of Magical Creatures,Base Set,not tested
44,Bluebell Flames,Spell,Charms,Base Set,not tested
45,Burning Bitterroot Balm,Spell,Potions,Base Set,not tested
46,Cage,Item,Care of Magical Creatures,Base Set,not tested
47,Confundus,Spell,Charms,Base Set,not tested
48,Diagon Alley,Adventure,none,Base Set,not tested
49,Dogbreath Potion,Spell,Potions,Base Set,not tested
50,Draco's Trick,Spell,Transfiguration,Base Set,not tested
51,Dragon Heart Wand,Item,Charms,Base Set,not tested
52,Fumos,Spell,Charms,Base Set,not tested
53,Guard Dog,Creature,Care of Magical Creatures,Base Set,not tested
54,Hiding From Snape,Adventure,none,Base Set,not tested
55,Kelpie,Creature,Care of Magical Creatures,Base Set,not tested
56,Logic Puzzle,Spell,Charms,Base Set,not tested
57,Mysterious Egg,Spell,Care of Magical Creatures,Base Set,not tested
58,Nurture,Spell,Care of Magical Creatures,Base Set,not tested
59,Ollivanders,Spell,Charms,Base Set,not tested
60,Peeves Causes Trouble,Adventure,none,Base Set,not tested
61,Pet Toad,Creature,Care of Magical Creatures,Base Set,not tested
62,Pomfrey's Pick-Me-Up,Spell,Potions,Base Set,not tested
63,Potions Exam,Spell,Potions,Base Set,not tested
64,Reptile House,Adventure,none,Base Set,not tested
65,Silver Cauldron,Item,Potions,Base Set,not tested
66,Snuffling Potion,Spell,Potions,Base Set,not tested
67,Stupefy,Spell,Charms,Base Set,not tested
68,Take Root,Spell,Transfiguration,Base Set,not tested
